"rid"	"mid"	"name"	"cuisine"	"is_halal"	"is_veg"	"unit"	"phone"	"hours"	"description"	"website"	"pic_url"	"ad"	"rating"
36	7	"Dancing Crab"	"Seafood"	"N"	"N"	"#03-10"	"6222 7377"	"11am-10pm daily"	"A dining experience unlike any other: fresh seafood, lively music, a cocktail and whiskey bar, and much more! Backed by one of Singapore’s oldest seafood restaurant leaders, TungLok Group, Dancing Crab sources their shellfish from the same vendors used at the group’s best seafood restaurants, offering a range from Boston lobster to Dungeness crab."	"http://www.dancingcrab.com.sg/"		"N"	3.8
37	7	"Le Shrimp Ramen"	"Chinese"	"N"	"N"	"#B2-25"		"11am-10pm daily"	"Inspired by the flavours of Japanese ramen broth and silky threads of Chinese la mian, Le Shrimp Ramen is a perfect marriage of Chinese and Japanese culture, offering a simple menu of elaborate flavours."	"https://www.paradisegp.com/le-shrimp-ramen/"		"Y"	3.5
38	7	"LeNu Chef Wa's Noodle Bar"	"Chinese"	"N"	"N"	"#02-91"		"11am-10pm daily"	"Affordable yet remarkable, LeNu is a casual Chinese noodle bar that strives to achieve perfection in every bowl to delight all diners at an affordable price. Pair their braised beef broth or signature pork bone soup with your preferred noodles option and different meat selections, for a perfectly customised bowl of Chinese noodles."	"https://www.paradisegroup.com.sg/"		"Y"	4.4
39	7	"Marché Mövenpick Restaurant"	"Western"	"N"	"N"	"#03-14"	"6376 8226"	"11am-10pm daily"	"Delight in delicious European cuisines set in a traditional Swiss village with original 500 years’ old Swiss mountain houses and cable car imported from Switzerland. Enjoy traditional Swiss rösti, Spanish paella, German pork knuckle, French crepes (sweet & savoury), Italian pasta, pizzas, homemade soups, garden fresh salad and made-to-order Caesar salad, quality meat from the apple-wood grill and market-fresh seafood. See, smell and feel the non-stop fresh cooking right in front of you. Quench your thirst with refreshing homemade lemonade, iced teas, premium hot coffee & specialty teas."	"http://www.marche-restaurants.com/"		"N"	4.4
40	7	"Menya Musashi"	"Japanese"	"N"	"N"	"#01-104"		"11am-10pm daily"	"Menya Musashi exploded into the ramen scene in 1996, quickly winning over the hearts and tummies of many to build a loyal following. Although their first shop in Shinjuku had only 20 seats, they managed to sell an astounding 750 bowls of ramen daily, and soon expanded with more outlets in order to meet the overwhelming demand for their ramen. Menya Musashi offer a selection of 3 soup bases – White (original), Black (infused with garlic oil) and Red (spicy) for the different taste buds of their many diners."	"https://www.facebook.com/menyamusashisg/"		"Y"	3.6
41	7	"Monster Curry"	"Japanese"	"N"	"N"	"#02-126"	"6221 3308"	"11am-10pm daily"	"Monster Curry is big on taste as it is in size. Recognized for its deep, dark and rich brown sauce which comes from cooking roasted caramel for up to 5 hours, the gourmet curry is paired with succulent cuts of toppings available in 3 options – Original, Seafood and Meat. Signature dishes include the Monster Curry Combo dishes that serve up to two, and they include the Mountain Monster Curry, Flame Monster Curry and Monster Combo Curry. The Cheese Pork Katsu, the Natto and Egg Curry and Pork Shabu-Shabu Omelette are must-try dishes too."	"http://www.monstercurry.com.sg/"		"Y"	3.6
42	7	"Morganfield's"	"Western"	"N"	"N"	"#01-51A"	"6225 0501"	"11am-10pm daily"	"Rooted in the spirit of Southern hospitality, this updated American restaurant and bar is best known for its signature Sticky Bones – mouth-watering pork spare ribs slow-cooked to tender perfection."	"http://morganfields.com.sg/"		"N"	3.9
43	7	"Mrs Pho"	"Vietnamese "	"N"	"N"	"#B2-29"		"11am-10pm daily"	"Mrs Pho is a tribute to all the Vietnamese mothers, grandmothers and aunties affectionately crowned as the best cook in the family, best cook in the neighbourhood, best cook, period. Everyone has their own ‘Mrs Pho’. And eating at her place is like eating out at home. It is on this simple ideal that Mrs Pho built their restaurant; a place where they feed you like family."	"https://mrspho.com/"		"Y"	4.3
44	7	"Nakhon Kitchen"	"Thai"	"N"	"N"	"#B2-23C"		"11am-10pm daily"	"Nakhon Kitchen was founded on the basis of making delicious and authentic Thai food affordable and easily available to everyone. inspirations for our dishes come from the exotic flavours of Northeastern Thailand’s Issan cuisine and Bangkok’s street food cooking. At Nakhon Kitchen, we believe that every dish should be prepared the good old way, bringing together the different flavours of sweet, sour, salty and spicy for an unforgettable dining experience. Over the years, our customers have come to appreciate our quality dishes which is reminiscent of what they would enjoy in Thailand. It’s no wonder that Nakhon Kitchen is a preferred place for friends and family to gather."	"https://nakhongroup.com/nakhonkitchen/"		"Y"	4.4
45	7	"Paik's Bibim"	"Korean"	"N"	"N"	"#02-125"	"6377 0696"	"11am-10pm daily"	"Paik’s Bibim is the brainchild of Jong Won Paik, Korea’s most successful and renowned celebrity chef. They offer a modernized version of everyone’s favourite Korean dish – Bibimbap. It’s a traditional dish being crafted into a simple, hearty meal at a very affordable price. All dishes come with good serving of fresh vegetables together with other ingredients, promoting a balance and healthy diet. Apart from bibimbap, Paik’s Bibim also offer good variety of noodle dishes and snacks. Chef recommended dishes are Beef Bulgogi Bibimbap, Teriyaki Chicken Bibimbap, Warm Noodle with Soya Sauce and the addictive Toppokki Rice Cake."	"https://www.facebook.com/paiks.bibimsg/"		"Y"	4.4
46	7	"Patbingsoo Korean Dining House"	"Korean"	"N"	"N"	"#B2-27"	"9187 0372"	"11am-10pm daily"	"At the forefront of Hallyu (Korean Wave), this first-of-its-kind unique dining concept is designed to appeal to the young and fun-loving foodies. Taking diners on a food adventure from sweet or savoury tastes and textures, to an extensively gorgeous collection of colours and flavours – Patbingsoo has a perfect bingsu for any occasion and mood. The Korean street food offerings are inspired by the founders’ extensive visits to the Myeongdong Night Market, and attentively crafted to appeal to the local palate. Guests will be in for a visual treat and unique taste journey, all set in a fun and casual ambience."	"http://www.patbingsoo.com.sg/"		"Y"	4.1
47	7	"Thai Accent"	"Thai"	"N"	"N"	"#02-145"	"6376 9282"	"11am-10pm daily"	"Thai Accent will amaze you with delectable Thai cuisine like never before. The moment you step into the restaurant, you will not only be greeted with warm Thai hospitality but also a stylish and funky décor giving it a retro and clean feeling to this iconic restaurant. The menu offers a simple yet tasteful selection of Thai cuisine. For a totally unique Thai cuisine experience, give Green Curry a try – which is prepared with carefully blended herbs and a light touch of coconut cream, served with a choice of chicken or beef. Conclude your meal with a traditional dessert of Mango Sticky Rice will surely give an ‘accent’ to a satisfied meal."	"http://www.seacuisine.com.sg/"		"Y"	3.7
48	7	"TORI-Q"	"Japanese"	"N"	"N"	"#B2-23D"		"11am-10pm daily"	"TORI-Q is a popular and trendy Japanese yakitori chain, driven by the passion to deliver the original taste from Japan and committed to serve only the freshest and finest. Using our customised auto-rolling machine to grill the yakitori sticks, they are then being dipped into our specially formulated “Tare” (sauce) for enhanced flavours."	"https://www.tori-q.com/"		"Y"	4.2
49	7	"Toss & Turn by Cedele"	"Healthy"	"N"	"N"	"#01-113"	"6221 1396"	"11am-10pm daily"	"Toss & Turn is the new and much raved-about addition to the growing health-savvy gourmet food & beverage concepts of Cedele Group. It embodies the same resolute commitment to healthy dining that has become synonymous with its parent company. Offering up unique deli, hot protein and cold protein choices, Toss & Turn seeks to become the ultimate destination for delicious food that is every bit as good for you as it tastes. A salad bar like no other; Be your own salad scientist at their design-your-own salad station and have your salads dressed to impress or tossed topsy-turvy."	"http://www.tossnturnsalad.com/"		"Y"	4.3
50	7	"Tsuta"	"Japanese"	"N"	"N"	"#B2-29"		"11am-10pm daily"	"Tsuta was established in 2012 by Chef Yuki Onishi with the premise on serving Ramen flavors based on the founder’s cooking philosophy of using only natural ingredients and creating bold umami flavors."	"https://www.vivocity.com.sg/shopping-guide/www.tsuta.com"		"Y"	4.4
51	7	"Wingstop"	"Fast food"	"Y"	"N"	"#02-143"	"6265 3690"	"11am-10pm daily"	"Originated from Texas in 1994, Wingstop has more than 930 restaurants open across the United States, Mexico and Asia which includes Singapore, Indonesia, the Philippines and the UAE. Wingstop is widely known for freshly made, piping hot chicken wings that are sauced and tossed in a choice of 12 mouth-watering flavors. In addition to their wings, they also serve delectable sides including mushroom fritters and jalapeño cheese fries."	"http://www.wingstop.com.sg/"		"N"	4.1
52	7	"Wonderland Savour"	"Western"	"N"	"N"	"#01-43"	"6259 3281"	"11am-10pm daily"	"Wonderland is about living the good life through the enjoyment of music & good food. An ideal cafe/restaurant for high tea, lunch or dinner for individual to whole family. It is also the perfect venue for private parties, with 90-pax seating capacity. Their food menu is an eclectic mix of modern European fusion, wide selection of delightful cakes, macaroon and Italian gelato. Welcome to Wonderland!"	"https://www.facebook.com/pg/WonderlandSavour"		"Y"	4.1
53	7	"Xin Wang Hong Kong Cafe"	"Chinese"	"N"	"N"	"#02-85"	"6251 5863"	"11am-10pm daily"	"Xin Wang Hong Kong is a modern café that offers all day dining with a modern setting. Boasting an extensive menu with Hong Kong style items, diners can savour comfort food borne from simple recipes characteristic of the typical Hong Kong and Macau cafes, home recipes we grew up on, local Singapore favourites, Dim sum and tea-time snacks."	"https://xinwang.com.sg/"		"Y"	4.1
54	7	"Encik Tan"	"Singaporean"	"Y"	"N"	"#B2-37"		"11am-10pm daily"	"The concept behind Encik Tan arose from the desire to let our Muslim counterpart savour local popular food prepared using halal ingredients according to the terms and conditions set out by MUIS but retaining the nostalgic flavour and taste of such food. At Encik Tan, you can get decent hawker fare (with halal certification from MUIS) with nostalgic flavour and taste in an air-conditioned setting at a reasonable price."	"https://enciktan.com.sg/about/"		"N"	4.2
55	7	"McDonald’s"	"Fast Food"	"Y"	"N"	"#B2-40"	"6376 8197"	"11am-10pm daily"	"Enjoy the familiar taste of your McDonald’s® favourites right here. Pick up a sumptuous Egg McMuffin® and a freshly brewed McCafe® premium roast coffee for breakfast. Tuck into a McSpicy® meal for a hearty lunch or a McWrap® for dinner. Whichever way, McDonald’s promise better value all day."	"https://www.mcdonalds.com.sg/"		"Y"	4.4
56	7	"Nam Kee JB Handmade Pau"	"Chinese"	"N"	"N"	"#B2-K17"		"11am-10pm daily"	"Nam Kee Pau specializes in traditional handmade pau from the authentic traditional recipe of the famous Nam Kee Pau in Johor Bahru in Malaysia. At Nam Kee Pau, all the pau items are handmade in house. You will definitely enjoy a “filling meal” at a reasonable price."	"http://feisionggroup.com.sg/"		"Y"	4.5
57	7	"Subway"	"Healthy"	"N"	"N"	"#B2-31"	"6227 7968"	"11am-10pm daily"	"Subway is the world largest submarine sandwich chain. Subway offers foot long and 6-inch sandwiches, made on freshly baked bread and prepared just as you want it, right before your eyes with a wide assortment of meats, cheeses, vegetables and toppings. They also offer wraps, flatbread and salads, potato chips, freshly baked cookies and choice of drinks to make every visit a fresh one."	"https://www.subway.com/en-SG"		"N"	3.8
58	7	"Dian Xiao Er"	"Chinese"	"N"	"N"	"#02-138"	"6376 9786"	"11am-10pm daily"	"Step back in time as you dine at Dian Xiao Er. Relish their signature Herbal Roast Duck roasted daily with naturally bred Cherry Valley ducks of the finest quality and savour tender juicy flesh with the crisp golden brown skin. Enjoy a spread of delectable dishes in Dian Xiao Er’s rustic ambience for a dining experience like no other!"	"http://www.dianxiaoer.com.sg/"		"Y"	4.4
59	7	"Ichiban Boshi"	"Japanese"	"N"	"N"	"#B2-07"	"6376 8318"	"11am-10pm daily"	"Each Ichiban Boshi restaurant is unique in design and ambience with its own specialty menu. The specialty here at VivoCity is Kaisen (seafood). Enjoy fresh seafood imported directly from Japan. Apart from its specialty menu, Ichiban Boshi also offers a wide selection of sushi on conveyor belt and variety set meals. With emphasis on quality, Ichiban Boshi is proud to present premium Japanese cuisine at reasonable prices throughout the year."	"https://www.ichibanboshi.com.sg/en/"		"Y"	4.7
60	7	"HANS IM GLÜCK"	"Western"	"N"	"N"	"#01-57"	"9738 5482"	"11am-10pm daily"	"HANS IM GLUCK elevates the humble burger into a never-boring, healthy, nutritious and delicious meal – with something special for everyone. We want you to relax as soon as you step into our forest-themed Burgergrill, whether in the company of family or friends, for business, romance, or even for some alone time. Hence, special attention has gone to interior design, lighting and music to create the feel-good ambience."	"https://hansimglueck-burgergrill.sg/"		"N"	3.7
